Value,Select type,url
Paysley,Upload file,https://cdn.shopify.com/s/files/1/0632/7156/7547/files/1676033567.png?v=1676033569
Jungle,Upload file,https://cdn.shopify.com/s/files/1/0632/7156/7547/files/1676033580.png?v=1676033583
Beach,Upload file,https://cdn.shopify.com/s/files/1/0632/7156/7547/files/1676033593.png?v=1676033595
Dots,Upload file,https://cdn.shopify.com/s/files/1/0632/7156/7547/files/1675982339.png?v=1675982341
Paysley / Snow White,Upload file,https://option.nyc3.digitaloceanspaces.com/files/khonsuswim.myshopify.com/1676045448.png
Jungle / Midnight Black,Upload file,https://option.nyc3.digitaloceanspaces.com/files/khonsuswim.myshopify.com/1676045461.png
Beach / Forest Green,Upload file,https://cdn.shopify.com/s/files/1/0632/7156/7547/files/1676045473.png?v=1676045476
Dots / Baby Pink,Upload file,https://cdn.shopify.com/s/files/1/0632/7156/7547/files/1676045484.png?v=1676045486
Black Orchid,Upload file,https://option.nyc3.digitaloceanspaces.com/files/khonsuswim.myshopify.com/1702098912.png
Burnt Orange,Upload file,https://option.nyc3.digitaloceanspaces.com/files/khonsuswim.myshopify.com/1702098926.png
Eggshell,Upload file,https://option.nyc3.digitaloceanspaces.com/files/khonsuswim.myshopify.com/1702098950.png
Egyptian Leopard,Upload file,https://option.nyc3.digitaloceanspaces.com/files/khonsuswim.myshopify.com/1702098967.png
Rio,Upload file,https://option.nyc3.digitaloceanspaces.com/files/khonsuswim.myshopify.com/1702098984.png
Sea,Upload file,https://option.nyc3.digitaloceanspaces.com/files/khonsuswim.myshopify.com/1702099002.png
Stone,Upload file,https://option.nyc3.digitaloceanspaces.com/files/khonsuswim.myshopify.com/1702099020.png
Tigress,Upload file,https://option.nyc3.digitaloceanspaces.com/files/khonsuswim.myshopify.com/1702099041.png
Vintage,Upload file,https://option.nyc3.digitaloceanspaces.com/files/khonsuswim.myshopify.com/1702099069.png
